,Book_Title,Author,Publisher,Published_Date,ISBN_10,ISBN_13,Page_Count,Average_Rating,Rating_Count,Sale_Country,Sale_Amount,Sale_Currency
181,The Alchemist - 10th Anniversary Edition,['Paulo Coelho'],Harper Collins,2009-10-13,0061741248,9780061741241,208,4.5,189,,,
182,"Summary Of ""The Alchemist - By Paulo Coelho"", Written By Sapiens Editorial",['Sapiens Editorial'],Sapiens Editorial,2018-06-20,3964544078,9783964544070,25,,,,3.99,USD
183,The Alchemist,['Instaread'],Instaread Summaries,2016-03-21,1945048476,9781945048470,36,,,US,2.99,USD
184,The Alchemist - Gift Edition,['Paulo Coelho'],Harper Collins,2006-05-02,0060887966,9780060887964,192,3.5,4809,US,,
185,The Secret of The Alchemist,['Colm Holland'],John Hunt Publishing,2020-07-31,1789044359,9781789044355,192,,,,8.99,USD
187,The Catcher in the Rye - J. D. Salinger,['Harold Bloom'],Infobase Publishing,2009-01-01,1438113730,9781438113739,,5,3,,,
188,J. D. Salinger's the Catcher in the Rye,['Harold Bloom'],Infobase Publishing,2009-01-01,1438119259,9781438119250,225,4,2,,,
189,The Catcher in the Rye,['J. D. Salinger'],,2008-11-21,1439576645,9781439576649,277,3.5,3163,,,
190,A Reader's Companion to J. D. Salinger's the Catcher in the Rye,['Peter G. Beidler'],,2011-06,1603810137,9781603810135,278,5,1,,,
191,"The Catcher in the Rye, by J.D. Salinger",['Joseph Dewey'],Critical Insights,2012,1587658372,9781587658372,351,,,,,
192,Study Guide to The Catcher in the Rye by J.D. Salinger,['Intelligent Education'],Influence Publishers,2020-02-15,1645422615,9781645422617,80,,,US,5.99,USD
193,The Catcher in the Rye,['Jerome David Salinger'],,1993,0745118445,9780745118444,347,3.5,3163,,,
194,Salinger's The Catcher in the Rye,['Sarah Graham'],A&C Black,2007-10-25,1441143106,9781441143105,128,,,US,20.65,USD
195,The Catcher in the Rye and Philosophy,"['Keith Dromm', 'Heather Salter']",Open Court Publishing,2012,0812698002,9780812698008,215,,,,,
197,The Bridges of Madison County,['Robert James Waller'],"Hachette Digital, Incorporated",1992,044651652X,9780446516525,88,,,,,
198,The Bridges of Madison County - Lettered Edition,['Robert James Waller'],,2020-06,1951151003,9781951151003,,,,,,
199,Just Beyond the Firelight,['Robert James Waller'],Iowa State Press,1988,0469890398,9780469890398,184,,,,,
200,"A Sketch of the Origin, Process and Work",['Robert Waller'],Wentworth Press,2019-02-26,3346188841,9783346188847,210,,,,,
201,"The motive of love in the book-to-film adaptations by Somerset Maugham, Robert James Waller and Nicholas Sparks",['Marta Zapała-Kraj'],GRIN Verlag,2020-06-24,0307353087,9780307353085,54,,,US,19.22,USD
202,The Long Night of Winchell Dear,['Robert James Waller'],Broadway Books,2007,0618168214,9780618168217,159,,,,,
203,The Chronology of American Literature,['Daniel S. Burt'],Houghton Mifflin Harcourt,2004,059532312X,9780595323128,805,,,,,
204,The Accidental Immigrant,['David Bouchier'],iUniverse,2004-06,0857710214,9780857710215,340,,,,,
205,Aim for the Heart,['Howard Hughes'],Bloomsbury Publishing,2009-07-30,1934354252,9781934354254,288,,,US,36,USD
207,Ben-Hur,['Lew Wallace'],,1888,615564327X,9786155643279,,,,US,,
208,Ben-Hur,['Lew Wallace'],Laurus - Lexecon Kft.,2019-01-01,1496411072,9781496411075,,,,,0.99,USD
209,"Ben-Hur, a Tale of the Christ",['Carol Wallace'],"Tyndale House Publishers, Inc.",2016,8026868501,9788026868507,409,4.5,12,US,,
210,Ben-Hur (Illustrated),['Lew Wallace'],e-artnow,2016-09-05,1496412095,9798682466115,575,,,,0.99,USD
211,Ben-Hur,"['Dirk Maggs', 'Lew Wallace']",,2000,1290998604,9781496412096,405,,,US,,
